#TAG,NAME,PURPOSE
,alacritty-git,"is the default terminal."
,aria2,"downloads everything."
,awesome-git,"is the window manager."
,bat,"enables syntax highlighted preview."
,betterlockscreen,"provides nice lockscreen."
,cronie,"is a time-based job scheduler."
,exa,"is a modern ls command."
,fastjar,"can be useful when unzip not working."
,fcitx5-gtk-git,"provides fcitx5 gtk support"
,fcitx5-qt6-git,"provides fcitx5 qt support."
,fcitx5-rime-git,"provides fcitx5 rime support."
,fd,"is a modern find command."
,ffmpegthumbnailer,"can generate thumbnail for video files."
,flameshot-git,"can take screenshots."
,font-victor-mono,"is a font."
,fzf,"is a fuzzy finder tool."
,gcolor2,"is a color picker."
,git-delta,"provides prettified git command output"
,github-cli,"is cli tools for github."
,htop,"is a graphical and colorful system monitor."
,interception-dual-function-keys,"gives modifier key more functionalities."
,jq,"is a command line json parser."
,mediainfo,"shows audio and video information."
,mpv,"is the patrician's choice video player."
,nautilus,"is a gui file manager."
,neovim,"a tidier vim with some useful features"
,nerd-fonts-victor-mono,"is a font."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,openssh,"provides a secure encrypted connection between two hosts."
,paru,"is a aur helper."
,pass,"is a password manager."
,playerctl,"is a media control tool."
,posix,"is a metapackage providing the POSIX shell and utilities."
,privoxy,"provides SOCKS to HTTP proxy conversion."
,pulseaudio,"is the audio system."
,python-pip,"can install python package."
,qliveplayer-git,"can play stream links in mpv."
,ripgrep,"is a modern grep."
,rofi,"is a replacement for dmenu."
,shadowsocks-libev,"is a secured SOCKS5 proxy."
,shadowsocks-v2ray-plugin,"is a plugin for shadowsocks-libev."
,smbnetfs,"can mount Microsoft Neighborhood."
,ttf-sarasa-gothic,"is a font."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdo,"provides window action utilities on the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xinput,"allows querying information about input devices."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,you-get,"can download almost any webpage video (or playlist or channel) when given the link."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,z,"tracks your most used directories."
,zip,"is a compressor for creating zipfiles."
,zsh-autosuggestions,"provides auto completions for zsh."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
A,brave-nightly-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,danmaku2ass-git,"can generate .ass danmaku subs from .xml files."
A,easystroke-git,"provides mouse gestures."
A,epub-thumbnailer-git,"can generate thumbnail for epub files."
A,fcitx5-skin-materia-exp,"is a fcitx5 theme."
A,fnm-bin,"is a node version manager."
A,picom-jonaburg-git,"is a compositor for transparency and removing screen-tearing."
A,pup,"is a command line tool for HTML parsing."
A,redshift-minimal,"adjusts color temperature automatically."
A,simple-mtpfs,"enables the mounting of cell phones."
A,xidlehook,"is a xautolock replacement."
A,xvkbd,"is a virtual keyboard for X."
